t_county,avg_temp_K,air_density
Anderson County,292.735,1.2210550741052395
Angelina County,293.32,1.2186199504552628
Bailey County,287.83666666666664,1.2418361568515401
Bastrop County,294.02,1.215718432947485
Baylor County,291.51,1.226187156540441
Bexar County,294.895,1.2121128635143918
Bowie County,291.1366666666666,1.2277587558527234
Brazoria County,295.4799999999999,1.2097142152549358
Brazos County,294.72999999999996,1.2127897860931007
Brewster County,293.83624999999995,1.2165100805802875
Briscoe County,288.5,1.2389793194288372
Burnet County,293.34999999999997,1.218495364132397
Calhoun County,295.76,1.2085661808737476
Callahan County,291.615,1.2257464923841526
Cameron County,297.78999999999996,1.2003290463680578
Cass County,291.29999999999995,1.2270701464305513
Castro County,287.515,1.2432262953707638
Chambers County,294.51,1.2136957443048437
Cherokee County,291.79999999999995,1.2249675587910198
Childress County,290.54999999999995,1.230237648935557
Cochran County,289.02,1.2367501683455109
Coke County,291.02,1.2282507513408687
Coleman County,293.32,1.2186197110842067
Collin County,291.92499999999995,1.2244437646505097
Colorado County,294.42999999999995,1.2140255193262222
Concho County,291.16999999999996,1.227618002044234
Cooke County,290.45,1.2306611590814927
Coryell County,292.84,1.2206171754378485
Cottle County,291.0,1.228335167200067
Crane County,293.10999999999996,1.21949279674941
Crockett County,291.96999999999997,1.2242543194685056
Crosby County,290.105,1.2321307822755494
Culberson County,288.96999999999997,1.237067946224027
Dallas County,292.70799999999997,1.2211702633517934
Denton County,291.8233333333333,1.2248699871768676
Dickens County,290.34,1.231127414945304
Duval County,295.97999999999996,1.2076678615285479
Ector County,292.2,1.223290669593496
El Paso County,292.21,1.2232661408785421
Ellis County,292.44,1.2222867379811913
Erath County,292.92999999999995,1.2202421522384856
Fannin County,290.80999999999995,1.2291378728279398
Fayette County,294.58,1.2134073380922654
Floyd County,288.965,1.2369856271222097
Fort Bend County,295.44,1.2098752154590426
Franklin County,291.31,1.2270280239443188
Gaines County,290.34999999999997,1.2310850134500415
Galveston County,296.08,1.207264141775421
Garza County,291.17499999999995,1.2275982685671751
Gillespie County,293.09,1.2195760130172288
Goliad County,295.04999999999995,1.2114744404515152
Gray County,287.96999999999997,1.2412596230691377
Grayson County,290.81,1.229137696967847
Gregg County,292.08,1.22379573573049
Guadalupe County,295.37,1.2101619448665049
Hale County,288.8533333333333,1.237464498279028
Hall County,289.98,1.2326561462822625
Hansford County,287.59999999999997,1.2428565147956174
Hardin County,293.82,1.216545958938192
Harris County,295.3866666666666,1.2100993613596724
Harrison County,291.16999999999996,1.227619137281031
Hartley County,287.12,1.2449359356345961
Henderson County,291.78499999999997,1.2250428430126905
Hidalgo County,297.79999999999995,1.200290232368861
Hockley County,288.96,1.2370069686296359
Hopkins County,291.21,1.227449378988426
Houston County,293.10499999999996,1.2195145227924606
Hudspeth County,291.71,1.2253454926304193
Hunt County,291.88,1.2246318132630516
Hutchinson County,289.54999999999995,1.234500782372891
Jack County,290.59,1.2300682530548868
Jasper County,294.06,1.2155530628280606
Jeff Davis County,290.31333333333333,1.23124764063846
Jefferson County,294.56666666666666,1.2134625141491393
Jim Wells County,296.155,1.2069638370392386
Johnson County,291.59,1.2258497673281648
Jones County,291.32,1.226985904349923
Kaufman County,292.15,1.223500029625944
Kent County,290.77,1.2293067842460348
Kimble County,292.505,1.222017703165291
King County,290.65999999999997,1.2297745819818293
Kleberg County,297.01,1.2034802866297598
La Salle County,296.98999999999995,1.2035608392714219
Lamb County,288.64,1.2383786645887511
Leon County,291.91999999999996,1.2244640095067814
Liberty County,294.16999999999996,1.2150991461221783
Lipscomb County,287.375,1.2438317261968077
Live Oak County,295.82499999999993,1.2083056830721297
Lubbock County,290.46999999999997,1.230577263324403
Lynn County,290.03999999999996,1.232400819387738
Marion County,291.15,1.2277023309470017
Mason County,293.17999999999995,1.2192016292217054
Matagorda County,295.01,1.2116442282460147
McCulloch County,292.4,1.2224539454692873
McLennan County,293.0,1.219950626809623
McMullen County,295.245,1.2106771751555452
Medina County,294.59999999999997,1.2133249614909014
Menard County,291.37,1.2267753497450646
Midland County,292.495,1.2220572455349612
Mills County,291.94,1.224380124872301
Montague County,290.56,1.2301952562473137
Montgomery County,294.1875,1.2150309135466641
Moore County,288.04999999999995,1.2409148885791341
Morris County,291.53,1.2261020603547477
Motley County,290.27,1.2314243072147297
Nacogdoches County,291.84,1.2247996630181592
Navarro County,292.655,1.2213925631510356
Newton County,293.90999999999997,1.2161734328713538
Nueces County,296.37600000000003,1.2060566616352912
Ochiltree County,287.34,1.2439811152475102
Oldham County,287.53499999999997,1.2431458197545373
Palo Pinto County,292.26,1.2230415997275133
Parker County,291.88,1.2246318132630516
Parmer County,287.53999999999996,1.243115857464073
Pecos County,293.385,1.2183518216514322
Potter County,287.7533333333333,1.2421988009141358
Presidio County,292.04999999999995,1.2239189647499387
Rains County,291.33,1.2269437876470655
Randall County,287.07,1.2451511257018133
Reagan County,291.605,1.2257879647902814
Red River County,291.32,1.226985904349923
Reeves County,291.71,1.2253454926304193
Refugio County,295.42999999999995,1.2099161684839712
Runnels County,291.30999999999995,1.2270339464534559
Rusk County,292.25,1.223081381198356
Sabine County,293.03999999999996,1.2197841033825403
San Augustine County,292.28999999999996,1.2229140020364007
San Patricio County,295.32,1.2103668348070553
San Saba County,292.815,1.2207216119206916
Schleicher County,291.38,1.22673324894031
Scurry County,291.12,1.227828846026448
Shackelford County,291.275,1.2271754830187525
Smith County,292.1066666666666,1.2236895238620336
Starr County,298.29999999999995,1.198275339105664
Stephens County,290.4,1.230873049776927
Sterling County,291.31,1.2270280239443188
Stonewall County,291.0,1.228335167200067
Swisher County,288.015,1.2410656867279322
Tarrant County,292.78,1.2208769473043692
Taylor County,292.26,1.2230395321125695
Terrell County,294.12,1.2153050919870105
Terry County,289.76,1.2335917091911222
Titus County,291.08,1.2279975733654651
Tom Green County,292.53,1.2219130886326164
Travis County,294.32666666666665,1.2144578864749753
Tyler County,293.42,1.218207895084278
Upshur County,291.95,1.2243381868649412
Upton County,293.07499999999993,1.2196384500659752
Val Verde County,296.54999999999995,1.2053465980617757
Van Zandt County,291.65999999999997,1.2255555566591907
Victoria County,295.51,1.2095896446836742
Walker County,293.78499999999997,1.2166969397428096
Ward County,292.71,1.221159282755012
Webb County,297.485,1.2015582729797867
Wharton County,294.78,1.2125840764860976
Wichita County,290.90999999999997,1.228715182204873
Winkler County,292.135,1.223565951641942
Wise County,292.22999999999996,1.2231650879622886
Wood County,291.145,1.2277234761769455
Yoakum County,289.30499999999995,1.235532568946287
